JobID,JobRole,Department,JobLevel,StandardHours,EmployeeCount,BusinessTravel,StockOptionLevel
98,Manager,Sales,5,80,1,Non-Travel,0
99,Research Director,Research & Development,3,80,1,Travel_Frequently,1
100,Manufacturing Director,Research & Development,3,80,1,Travel_Frequently,2
101,Sales Executive,Sales,2,80,1,Travel_Rarely,2
102,Healthcare Representative,Research & Development,2,80,1,Travel_Rarely,1
103,Healthcare Representative,Research & Development,2,80,1,Non-Travel,2
104,Manager,Research & Development,3,80,1,Non-Travel,1
105,Research Director,Research & Development,3,80,1,Non-Travel,2
106,Manager,Research & Development,3,80,1,Travel_Rarely,1
107,Research Director,Research & Development,5,80,1,Travel_Rarely,2
108,Research Director,Research & Development,4,80,1,Travel_Rarely,3
109,Healthcare Representative,Research & Development,2,80,1,Travel_Frequently,1
110,Laboratory Technician,Research & Development,1,80,1,Travel_Frequently,1
111,Sales Executive,Sales,4,80,1,Travel_Frequently,1
112,Laboratory Technician,Research & Development,1,80,1,Travel_Frequently,2
113,Laboratory Technician,Research & Development,3,80,1,Travel_Frequently,1
114,Manager,Research & Development,3,80,1,Travel_Frequently,2
115,Manager,Research & Development,4,80,1,Travel_Rarely,0
116,Manufacturing Director,Research & Development,3,80,1,Travel_Frequently,1
117,Manager,Research & Development,5,80,1,Travel_Frequently,1
118,Laboratory Technician,Research & Development,2,80,1,Travel_Frequently,1
119,Research Scientist,Research & Development,2,80,1,Travel_Frequently,0
120,Sales Representative,Sales,2,80,1,Travel_Frequently,0
121,Research Director,Research & Development,4,80,1,Travel_Rarely,0
122,Manager,Sales,3,80,1,Travel_Rarely,1
123,Sales Representative,Sales,1,80,1,Non-Travel,0
124,Manufacturing Director,Research & Development,2,80,1,Non-Travel,0
125,Healthcare Representative,Research & Development,3,80,1,Travel_Rarely,0
126,Research Director,Research & Development,4,80,1,Travel_Rarely,1
127,Research Scientist,Research & Development,2,80,1,Non-Travel,2
128,Sales Executive,Sales,4,80,1,Travel_Frequently,3
129,Healthcare Representative,Research & Development,2,80,1,Travel_Frequently,3
130,Laboratory Technician,Research & Development,1,80,1,Non-Travel,1
131,Manager,Research & Development,4,80,1,Travel_Rarely,1
132,Laboratory Technician,Research & Development,1,80,1,Non-Travel,0
133,Manufacturing Director,Research & Development,2,80,1,Travel_Rarely,3
134,Human Resources,Human Resources,3,80,1,Travel_Frequently,3
135,Manufacturing Director,Research & Development,4,80,1,Travel_Rarely,0
136,Human Resources,Human Resources,1,80,1,Travel_Frequently,1
137,Sales Executive,Sales,3,80,1,Non-Travel,1
138,Healthcare Representative,Research & Development,2,80,1,Non-Travel,0
139,Sales Representative,Sales,1,80,1,Travel_Frequently,2
140,Manager,Human Resources,5,80,1,Travel_Frequently,1
141,Sales Representative,Sales,1,80,1,Travel_Rarely,2
142,Human Resources,Human Resources,3,80,1,Travel_Rarely,1
143,Sales Executive,Sales,2,80,1,Travel_Frequently,1
144,Manager,Human Resources,5,80,1,Travel_Rarely,3
145,Manager,Human Resources,5,80,1,Travel_Rarely,1
146,Research Director,Research & Development,3,80,1,Non-Travel,1
147,Sales Executive,Sales,4,80,1,Travel_Frequently,2
148,Laboratory Technician,Research & Development,2,80,1,Travel_Frequently,2
149,Sales Representative,Sales,2,80,1,Travel_Rarely,0
150,Laboratory Technician,Research & Development,1,80,1,Non-Travel,3
151,Manufacturing Director,Research & Development,4,80,1,Travel_Frequently,0
152,Sales Representative,Sales,1,80,1,Travel_Rarely,3
153,Sales Executive,Sales,4,80,1,Travel_Rarely,1
154,Human Resources,Human Resources,2,80,1,Travel_Rarely,2
155,Laboratory Technician,Research & Development,3,80,1,Travel_Rarely,1
156,Laboratory Technician,Research & Development,2,80,1,Non-Travel,0
157,Sales Executive,Sales,4,80,1,Non-Travel,0
158,Sales Executive,Sales,2,80,1,Non-Travel,2
159,Research Scientist,Research & Development,1,80,1,Non-Travel,0
160,Manager,Sales,4,80,1,Non-Travel,0
161,Research Director,Research & Development,5,80,1,Travel_Frequently,1
162,Manufacturing Director,Research & Development,4,80,1,Travel_Rarely,1
163,Research Director,Research & Development,3,80,1,Travel_Rarely,3
164,Healthcare Representative,Research & Development,2,80,1,Travel_Frequently,2
165,Research Director,Research & Development,5,80,1,Non-Travel,2
166,Research Scientist,Research & Development,1,80,1,Travel_Frequently,2
167,Manager,Research & Development,4,80,1,Non-Travel,0
168,Research Scientist,Research & Development,2,80,1,Travel_Rarely,3
169,Healthcare Representative,Research & Development,3,80,1,Non-Travel,0
170,Healthcare Representative,Research & Development,2,80,1,Travel_Frequently,0
171,Manufacturing Director,Research & Development,3,80,1,Travel_Rarely,3
172,Healthcare Representative,Research & Development,4,80,1,Travel_Frequently,3
173,Sales Executive,Sales,4,80,1,Travel_Frequently,0
174,Sales Representative,Sales,1,80,1,Non-Travel,3
175,Laboratory Technician,Research & Development,2,80,1,Travel_Rarely,3
176,Human Resources,Human Resources,2,80,1,Non-Travel,1
177,Research Director,Research & Development,4,80,1,Travel_Rarely,2
178,Healthcare Representative,Research & Development,4,80,1,Non-Travel,1
179,Manager,Sales,5,80,1,Travel_Frequently,1
180,Manager,Research & Development,5,80,1,Travel_Rarely,2
181,Human Resources,Human Resources,2,80,1,Travel_Frequently,2
182,Manager,Research & Development,5,80,1,Travel_Frequently,0
183,Manager,Research & Development,4,80,1,Travel_Rarely,2
184,Laboratory Technician,Research & Development,2,80,1,Non-Travel,3
185,Manager,Research & Development,3,80,1,Travel_Rarely,2
186,Manager,Human Resources,5,80,1,Travel_Rarely,0
187,Manager,Human Resources,4,80,1,Travel_Rarely,1
188,Research Scientist,Research & Development,2,80,1,Travel_Frequently,2
189,Manufacturing Director,Research & Development,4,80,1,Travel_Frequently,1
190,Human Resources,Human Resources,3,80,1,Travel_Rarely,0
191,Manufacturing Director,Research & Development,3,80,1,Travel_Rarely,2
192,Research Scientist,Research & Development,1,80,1,Non-Travel,2
193,Healthcare Representative,Research & Development,3,80,1,Travel_Rarely,2
194,Research Director,Research & Development,4,80,1,Travel_Frequently,2
195,Sales Representative,Sales,1,80,1,Non-Travel,1
196,Laboratory Technician,Research & Development,1,80,1,Travel_Frequently,3
197,Research Director,Research & Development,4,80,1,Travel_Frequently,0
198,Manager,Human Resources,4,80,1,Travel_Rarely,0
199,Human Resources,Human Resources,2,80,1,Travel_Frequently,0
200,Research Scientist,Research & Development,2,80,1,Non-Travel,1
201,Manufacturing Director,Research & Development,2,80,1,Travel_Frequently,2
202,Healthcare Representative,Research & Development,4,80,1,Travel_Rarely,1
203,Manager,Sales,4,80,1,Travel_Rarely,3
204,Human Resources,Human Resources,1,80,1,Travel_Rarely,3
205,Human Resources,Human Resources,3,80,1,Travel_Rarely,2
206,Research Director,Research & Development,5,80,1,Travel_Rarely,3
207,Manufacturing Director,Research & Development,4,80,1,Non-Travel,3
208,Human Resources,Human Resources,1,80,1,Non-Travel,3
209,Manager,Sales,4,80,1,Non-Travel,1
210,Sales Executive,Sales,3,80,1,Travel_Frequently,2
211,Sales Representative,Sales,2,80,1,Travel_Rarely,2
212,Human Resources,Human Resources,1,80,1,Non-Travel,1
213,Human Resources,Human Resources,1,80,1,Travel_Frequently,0
214,Research Scientist,Research & Development,2,80,1,Non-Travel,0
215,Sales Representative,Sales,1,80,1,Non-Travel,2
216,Manager,Research & Development,5,80,1,Non-Travel,0
217,Manufacturing Director,Research & Development,2,80,1,Travel_Frequently,3
