PayId,HourlyRate,MonthlyRate,MonthlyIncome,DailyRate,OverTime,PercentSalaryHike
52,50,11179,3441,1434,Yes,13
53,75,4009,5454,1488,Yes,21
54,79,8302,9884,1097,Yes,13
55,47,21436,4157,1443,Yes,19
56,98,15146,13458,515,Yes,12
57,71,11031,9069,853,"No ",22
58,30,16002,4014,1142,Yes,15
59,48,9528,5915,655,"No ",22
60,51,2689,5993,1115,"No ",18
61,33,10877,6162,427,Yes,22
62,50,5456,2406,653,"No ",11
63,43,16701,18740,989,Yes,12
64,99,2354,7637,1435,"No ",11
65,59,8202,10096,1223,"No ",13
66,33,19730,14756,836,Yes,14
67,95,22656,6499,1195,"No ",13
68,59,18787,9724,1339,"No ",17
69,79,5868,2194,664,"No ",13
70,79,21777,3388,318,Yes,17
71,57,24668,5473,1225,"No ",11
72,76,4956,2703,1328,"No ",23
73,87,18775,2501,1082,"No ",17
74,66,7346,6220,548,"No ",17
75,55,22002,3038,132,"No ",12
76,61,20682,4424,746,"No ",23
77,32,23016,4312,776,"No ",14
78,52,15067,13245,193,Yes,14
79,30,25258,13664,397,"No ",13
80,80,10425,5021,945,Yes,22
81,55,15998,5126,852,Yes,12
82,30,26278,2859,1214,"No ",18
83,70,18092,10239,111,"No ",14
84,79,15717,5329,573,Yes,12
85,94,17736,4325,1153,"No ",15
86,49,21698,7260,1400,"No ",11
87,62,9518,2322,541,"No ",13
88,96,18725,2075,432,"No ",23
89,99,15830,4152,288,"No ",19
90,64,13596,9619,669,"No ",16
91,78,14115,13503,530,"No ",22
92,71,8423,5441,632,Yes,22
93,63,19760,5209,1334,Yes,12
94,40,3142,10673,638,Yes,13
95,87,24301,5010,1093,"No ",16
96,60,24001,13549,1217,"No ",12
97,33,17519,4999,1353,"No ",21
98,43,8863,4221,120,"No ",15
99,37,24409,13872,682,"No ",13
100,67,25043,2042,489,"No ",12
101,63,23648,2073,807,Yes,22
102,71,15178,2956,827,"No ",13
103,66,19783,2926,871,Yes,18
104,41,12482,4809,665,"No ",14
105,100,15850,5163,1040,"No ",14
106,32,21922,18844,1420,"No ",21
107,73,9755,18172,1115,Yes,19
108,46,26959,5744,240,Yes,11
109,64,26897,2889,1280,"No ",11
110,59,23785,2871,534,"No ",15
111,30,25796,7484,1456,"No ",20
112,66,22887,6074,658,Yes,24
113,30,13871,17328,142,Yes,12
114,52,13257,2774,1127,"No ",12
115,45,15000,4505,1031,"No ",15
116,87,14506,7428,1189,"No ",12
117,45,5615,11631,1354,"No ",12
118,92,22952,9738,1467,"No ",14
119,39,2561,2835,922,"No ",22
120,92,19494,16959,394,Yes,12
121,96,22310,2613,1312,"No ",25
122,95,15480,6146,750,"No ",13
123,72,4510,4963,441,Yes,18
124,51,6462,19537,684,"No ",13
125,76,20739,6172,249,Yes,18
126,46,23300,2368,841,"No ",19
127,94,3465,10312,147,"No ",12
128,50,26820,1675,528,Yes,19
129,100,19299,2523,594,"No ",14
130,96,5549,6567,470,"No ",14
131,72,16090,4739,957,"No ",12
132,77,6645,9208,809,"No ",11
133,71,24788,4559,542,Yes,11
134,96,21196,8189,802,Yes,13
135,61,8916,2942,1355,"No ",23
136,84,2819,4941,216,"No ",20
137,53,25150,10650,1150,"No ",15
138,47,14590,5902,1329,"No ",14
139,41,24835,8639,959,"No ",18
140,48,13982,6347,1240,Yes,19
141,41,10224,4200,1033,"No ",22
142,83,9752,3452,1316,"No ",13
143,32,2302,4317,364,Yes,20
144,75,23910,2632,438,"No ",14
145,35,22812,4668,689,"No ",17
146,84,10415,3204,201,"No ",14
147,35,11162,2720,1427,"No ",13
148,91,12888,17181,857,"No ",13
149,94,6961,2238,933,"No ",21
150,79,16102,1483,1181,"No ",14
151,54,8504,5605,1395,"No ",11
152,94,11439,7295,662,"No ",13
153,34,16047,2306,1436,Yes,20
154,60,10901,2348,194,"No ",18
155,43,15589,8998,967,"No ",14
156,41,26283,4319,1496,"No ",13
157,34,13983,6132,1169,"No ",17
158,75,11873,3346,1145,Yes,20
159,67,8552,10855,630,"No ",11
160,75,11314,2231,303,"No ",18
161,80,11992,2323,1256,"No ",24
162,57,5970,2024,691,"No ",18
163,42,6672,2713,440,"No ",11
164,83,23402,9439,334,Yes,16
165,79,25326,2566,1450,Yes,15
166,53,17053,19926,1452,"No ",15
167,56,4609,2451,465,"No ",12
168,41,8053,9419,1339,"No ",12
169,59,12930,8686,702,"No ",22
170,43,12430,3038,120,"No ",20
171,51,13364,3058,1157,Yes,16
172,100,20989,2325,602,"No ",21
173,30,15062,2088,1480,"No ",12
174,66,11012,3072,111,"No ",11
175,30,6319,5006,1268,Yes,11
176,67,13939,4257,713,Yes,18
177,90,10515,2500,134,"No ",14
178,47,9241,1102,303,"No ",22
179,92,2137,10453,526,"No ",25
180,75,6319,2288,1380,"No ",12
181,95,6984,3929,140,Yes,23
182,95,5711,2311,629,"No ",15
183,70,21728,3140,1356,Yes,22
184,86,3425,3690,328,"No ",15
185,57,26250,4450,1084,"No ",11
186,72,4673,2756,931,"No ",13
187,46,6499,19033,989,"No ",14
188,61,13339,18722,692,"No ",11
189,45,14074,9547,1069,"No ",17
190,98,7192,13734,313,"No ",18
191,65,5678,19999,699,"No ",14
192,99,11781,2279,894,"No ",16
193,50,15497,5916,556,Yes,13
194,37,5228,2089,1344,"No ",14
195,65,20462,16792,1195,"No ",23
196,65,22977,3564,290,Yes,12
197,37,15986,4425,138,"No ",11
198,36,16439,5265,926,"No ",16
199,88,7259,6553,1261,"No ",14
200,54,4185,6261,1084,"No ",18
201,60,9679,4298,472,"No ",19
202,92,23793,6804,1002,Yes,15
203,43,5972,3815,878,Yes,17
204,99,16523,2741,905,Yes,15
205,70,11354,6673,1180,Yes,19
206,35,24525,7639,121,"No ",22
207,60,12392,2328,1136,Yes,16
208,73,7703,2153,635,"No ",13
209,63,14242,4876,1151,"No ",14
210,97,12368,9396,644,"No ",16
211,32,25812,10400,1045,"No ",11
212,88,20925,8474,829,"No ",22
213,90,12916,9981,1242,"No ",14
214,81,15736,12490,1469,"No ",16
215,88,8556,2657,1005,Yes,11
216,75,14674,13591,896,Yes,18
217,52,22967,6696,334,"No ",15
218,85,19757,2058,992,"No ",14
219,57,16840,8865,1052,"No ",12
220,52,17011,5940,1147,"No ",14
221,62,9945,5914,1396,"No ",16
222,47,13248,2622,147,"No ",21
223,47,10056,12185,663,Yes,14
224,76,9647,10609,119,"No ",12
225,90,4381,4345,979,"No ",12
226,70,8456,2177,142,"No ",17
227,41,2539,2793,319,"No ",17
228,42,6599,7918,1413,"No ",14
229,92,9096,8789,944,"No ",14
230,86,14961,2389,896,Yes,13
231,89,3300,3212,1323,"No ",15
232,58,4933,19232,532,"No ",11
233,52,25657,2267,818,"No ",17
234,68,24118,19517,854,"No ",11
235,58,22149,2436,813,Yes,13
236,80,7744,16064,1034,Yes,22
237,39,21509,2707,465,"No ",20
238,79,21030,19068,771,Yes,18
239,56,20990,3931,1401,"No ",11
240,62,9571,3730,515,Yes,14
241,96,15417,2232,1431,"No ",14
242,100,12069,4465,976,"No ",18
243,36,19877,3072,1411,"No ",16
244,62,24447,3319,1300,"No ",17
245,70,15970,19202,252,"No ",11
246,73,13523,13675,1327,"No ",12
247,63,14776,2911,832,"No ",13
248,84,23687,5957,470,"No ",13
249,83,18697,3920,1017,"No ",14
250,77,5118,6434,1199,"No ",17
251,61,22573,10048,504,"No ",11
252,64,6420,10938,505,"No ",25
253,60,22673,2340,665,"No ",19
254,82,23016,6545,916,Yes,13
255,45,10732,6931,1247,"No ",14
256,62,7505,4898,685,"No ",12
257,56,8007,2593,269,Yes,11
258,49,5949,19436,1416,"No ",19
259,96,23231,2723,833,"No ",11
260,71,11652,3479,307,"No ",11
261,100,26062,2794,1311,"No ",20
262,39,19682,5249,1327,"No ",18
263,84,19737,2176,128,"No ",13
264,75,14977,16872,488,Yes,12
265,79,14935,3485,529,"No ",11
266,78,3687,6644,1210,"No ",19
267,64,14408,5582,1463,"No ",21
268,85,18384,4000,675,"No ",12
269,79,7501,13496,1385,Yes,14
270,47,20251,3210,1403,"No ",11
271,81,18938,19045,452,Yes,14
272,88,10268,11849,666,Yes,12
273,94,2613,2070,1158,"No ",23
274,98,22825,6502,228,"No ",14
275,100,10531,3230,996,"No ",17
276,80,11677,13603,728,Yes,18
277,71,19100,11996,1315,"No ",18
278,44,19191,5605,322,Yes,24
279,84,26767,6397,1479,"No ",20
280,96,15815,19144,797,"No ",14
281,45,21016,17584,1070,Yes,16
282,99,24532,4907,635,"No ",25
283,44,20260,4554,442,"No ",18
284,37,15972,5415,147,Yes,19
285,60,22722,4741,496,Yes,13
286,42,15881,2115,1372,"No ",12
287,43,19920,3161,920,Yes,22
288,82,18899,5745,688,"No ",14
289,45,14180,2373,1449,Yes,13
290,66,4488,3310,1117,"No ",21
291,35,25594,18665,636,Yes,11
292,30,26285,4485,506,"No ",12
293,84,3909,2789,444,"No ",11
294,48,8450,5828,950,Yes,12
295,53,11411,2326,889,Yes,12
296,77,14864,13525,555,"No ",14
297,54,25233,1420,230,"No ",13
298,96,5100,8020,1232,"No ",15
299,81,7122,3688,566,"No ",18
300,84,16321,5482,1302,"No ",18
301,88,15896,16015,334,"No ",19
302,69,9724,1200,812,"No ",12
303,68,4824,5661,1476,"No ",19
304,100,12241,6929,218,"No ",11
305,48,10942,9613,1132,"No ",17
306,47,6927,5674,1105,"No ",15
307,91,16985,5484,906,"No ",14
308,81,26707,12061,849,"No ",17
309,32,17056,5660,390,Yes,13
310,86,10077,4821,691,Yes,12
311,62,17822,6410,106,"No ",12
312,97,20308,5210,1249,"No ",18
313,32,7747,2695,192,Yes,18
314,74,23364,11878,553,"No ",11
315,99,5355,17068,117,Yes,14
316,33,10675,2455,185,"No ",19
317,90,17810,13964,1091,Yes,12
318,85,17747,4941,723,"No ",15
319,85,20938,2478,1220,Yes,12
320,65,24624,5228,588,Yes,11
321,74,5242,4478,1377,Yes,11
322,73,7143,7547,691,"No ",12
323,74,10557,5055,1018,"No ",16
324,84,24737,3464,1157,Yes,13
325,64,11934,5775,1275,"No ",13
326,48,14034,8943,798,"No ",24
327,54,21141,19272,672,"No ",15
328,41,17778,5238,1162,Yes,18
329,46,4317,4682,508,"No ",14
330,42,16375,18300,1482,"No ",11
331,82,6227,5257,559,"No ",11
332,73,22107,6349,210,Yes,13
333,31,16885,4869,928,"No ",12
334,43,9262,9985,1001,"No ",16
335,75,9278,3697,549,"No ",14
336,57,13273,7457,1124,Yes,22
337,77,4759,2119,318,Yes,11
338,30,7621,3983,738,"No ",17
339,30,5431,6118,570,"No ",13
340,56,3415,6214,1130,"No ",18
341,61,23177,6347,1192,"No ",16
342,92,15682,11510,343,Yes,14
343,39,25713,7143,1232,Yes,14
344,39,11866,8268,144,Yes,14
345,62,18264,8095,1296,"No ",13
346,83,16092,2904,1309,"No ",12
347,95,10110,6032,483,Yes,15
348,99,25751,2976,1309,"No ",19
349,44,15901,15992,810,"No ",14
350,61,16928,4649,746,"No ",14
351,52,24017,2696,544,Yes,11
352,75,3956,2370,1062,"No ",13
353,91,23978,12504,530,"No ",21
354,51,17001,5974,1319,Yes,13
355,85,6069,4736,641,Yes,12
356,57,20156,5296,933,"No ",17
357,98,17078,6781,1332,"No ",23
358,99,9150,2174,756,Yes,11
359,45,15276,6653,845,"No ",15
360,48,7246,9699,541,"No ",11
361,88,2967,6755,593,"No ",11
362,46,22495,2213,1171,Yes,13
363,39,2851,2610,895,"No ",24
364,34,9150,2851,350,Yes,13
365,98,17663,3452,921,"No ",20
366,30,16044,5258,1144,"No ",14
367,56,9558,9355,143,"No ",18
368,100,2755,10496,1046,"No ",15
369,68,6110,6380,575,Yes,12
370,42,7551,2657,408,Yes,16
371,90,25422,2716,156,"No ",15
372,54,18168,2201,1283,"No ",16
373,97,19394,6540,755,"No ",19
374,82,17881,3816,1469,"No ",11
375,92,20750,5253,304,"No ",16
376,31,12066,10965,1261,"No ",24
377,87,14862,4936,1178,"No ",11
378,96,11868,2543,329,"No ",13
379,67,4652,5304,1362,Yes,13
380,97,23258,16659,1311,Yes,13
381,77,5915,4260,1371,Yes,12
382,72,17434,2476,202,"No ",18
383,73,6582,3102,575,"No ",22
384,43,24440,2244,253,"No ",13
385,61,3809,7596,164,"No ",13
386,40,3427,2285,464,Yes,23
387,95,26914,3034,1107,"No ",12
388,46,22553,5715,759,"No ",12
389,95,20490,2576,201,"No ",16
390,49,21123,4197,1305,Yes,12
391,59,4345,14336,982,"No ",11
392,78,13436,3448,555,"No ",22
393,86,8509,19406,821,"No ",11
394,72,12740,6538,1381,"No ",15
395,31,4156,4306,480,"No ",12
396,61,15238,2258,313,"No ",20
397,74,2227,4522,1473,Yes,14
398,99,12090,4487,891,Yes,11
399,72,23866,4449,1063,Yes,15
400,98,16193,2218,329,"No ",12
401,52,8213,19197,1218,Yes,14
402,86,18256,13212,906,"No ",11
403,83,19558,6577,1082,"No ",11
404,49,19566,8392,645,"No ",16
405,79,13535,4558,1300,"No ",12
406,91,9396,4031,688,"No ",13
407,39,19609,7969,319,Yes,14
408,69,9655,2654,192,"No ",21
409,30,10310,16555,1490,"No ",13
410,92,12932,4556,532,"No ",11
411,43,24793,6091,317,"No ",20
412,41,3854,19566,422,"No ",11
413,87,26314,4810,1485,"No ",14
414,88,4386,4523,1368,"No ",11
415,62,21972,3202,1448,Yes,16
416,33,12253,2351,296,"No ",16
417,42,12106,1702,1490,Yes,23
418,79,13022,18041,1398,"No ",14
419,90,3032,2886,1349,"No ",22
420,53,16734,2097,1400,"No ",15
421,93,21526,11935,986,"No ",18
422,71,18300,2546,408,"No ",16
423,52,18437,2564,489,"No ",12
424,69,2890,8412,1398,"No ",11
425,56,22102,14118,210,"No ",12
426,88,9314,17046,1099,"No ",15
427,49,7181,2564,1116,"No ",14
428,80,2845,10266,1499,"No ",19
429,65,7389,5070,983,"No ",13
430,51,2288,17861,1009,"No ",13
431,46,19225,4230,144,"No ",15
432,42,23428,3780,548,"No ",11
433,62,8416,2768,1303,"No ",12
434,94,11563,9071,1125,Yes,19
435,33,14394,10648,1274,"No ",25
436,56,24619,13610,1277,Yes,12
437,38,6705,3408,587,"No ",13
438,57,18398,2983,413,"No ",14
439,72,14295,7632,1276,Yes,12
440,66,22908,9824,534,"No ",12
441,43,11533,9950,988,Yes,15
442,97,9260,2093,1474,"No ",17
443,32,15318,9980,635,"No ",14
444,99,9129,3894,1368,"No ",16
445,37,19658,4051,163,"No ",14
446,83,9873,16835,1117,"No ",23
447,56,13430,6230,267,"No ",14
448,85,18659,4717,619,"No ",11
449,75,20364,13237,302,"No ",15
450,48,17872,3755,443,"No ",11
451,77,8346,6582,828,Yes,13
452,56,6950,7406,319,Yes,21
453,61,16177,4805,561,"No ",19
454,58,22808,2741,426,Yes,11
455,34,22645,4262,232,"No ",12
456,95,22578,16184,922,"No ",19
457,44,25291,11557,688,"No ",21
458,69,8059,1878,1306,Yes,14
459,58,11373,10932,1094,"No ",15
460,62,2112,6811,509,Yes,17
461,45,4267,4306,775,"No ",12
462,80,6698,4859,195,"No ",16
463,74,19921,5337,258,"No ",12
464,66,23213,2340,471,Yes,18
465,59,23848,7491,799,"No ",17
466,86,8984,10527,1034,"No ",11
467,91,5626,16595,1276,"No ",16
468,69,24666,8834,142,"No ",13
469,78,22087,5577,956,Yes,12
470,60,23914,4707,1474,"No ",12
471,38,5530,2400,535,"No ",13
472,76,22174,9824,1495,"No ",19
473,65,15701,6447,446,"No ",12
474,58,2125,19502,1245,Yes,17
475,89,21630,2725,691,Yes,11
476,66,7428,6272,703,"No ",20
477,94,9100,2127,823,"No ",21
478,99,7999,18200,1246,"No ",11
479,40,26376,2096,622,"No ",11
480,55,14168,2886,1287,Yes,16
481,74,14470,2033,448,"No ",18
482,83,22794,3622,254,Yes,13
483,46,11512,4233,1365,"No ",17
484,54,14004,3681,538,"No ",14
485,66,6219,5460,525,"No ",22
486,66,5013,2187,798,"No ",12
487,75,3010,9602,558,Yes,11
488,83,11757,2836,959,"No ",13
489,81,5718,4089,622,"No ",13
490,50,2671,16627,782,Yes,14
491,43,14561,2619,362,"No ",17
492,72,19627,5679,1001,Yes,13
493,40,17997,15402,1236,"No ",11
494,50,26894,5985,1112,"No ",11
495,31,2912,2579,204,Yes,18
496,85,16346,3041,1420,"No ",11
497,49,24444,3447,1343,"No ",11
498,35,9358,19513,1315,Yes,12
499,69,12145,2773,604,"No ",20
500,39,20431,7104,1216,"No ",12
501,92,18089,6322,646,Yes,12
502,71,22653,2083,160,"No ",20
503,34,7507,8381,238,"No ",20
504,42,7660,2691,1397,"No ",12
505,100,5630,4286,306,"No ",14
506,71,17759,2659,991,Yes,13
507,36,9606,9434,482,"No ",15
508,62,3487,5561,1176,"No ",14
509,82,19368,6646,1017,"No ",13
510,30,5335,7725,1296,"No ",23
511,88,6729,10725,397,"No ",15
512,48,13934,8847,913,Yes,11
513,54,15174,2045,1115,"No ",13
514,32,26999,1009,1362,Yes,11
515,70,3164,3348,1076,Yes,11
516,41,16900,1281,727,"No ",18
517,58,8544,2819,885,"No ",16
518,57,15678,4851,810,"No ",22
519,46,7791,4028,243,"No ",20
520,76,18959,2720,806,"No ",18
521,56,18597,8120,817,"No ",12
522,71,16673,4647,1410,Yes,20
523,80,15232,4680,1225,"No ",17
524,74,3297,3221,1207,Yes,11
525,46,17654,8621,1442,"No ",14
526,65,24785,4577,693,"No ",14
527,80,20978,4553,408,"No ",11
528,55,21703,5396,929,"No ",12
529,50,23452,6796,562,Yes,14
530,33,19383,7625,827,"No ",13
531,68,6009,7412,608,"No ",11
532,39,19373,11159,1018,"No ",15
533,42,11825,4960,703,"No ",12
534,48,23772,10475,580,Yes,21
535,59,13514,14814,970,"No ",19
536,73,8861,19141,427,"No ",15
537,84,11924,5405,1179,"No ",14
538,32,4809,8793,294,"No ",21
539,59,19562,19189,314,"No ",12
540,54,9983,3875,316,"No ",15
541,67,3872,2216,654,Yes,13
542,63,20335,11713,427,"No ",14
543,81,15397,7861,168,Yes,14
544,49,2104,3708,381,"No ",14
545,49,10225,13770,217,Yes,12
546,99,25275,5304,501,"No ",23
547,99,2755,2642,1396,"No ",11
548,57,20366,2759,933,Yes,12
549,47,23683,6804,775,"No ",18
550,96,7360,6142,970,"No ",11
551,37,4344,2500,650,"No ",14
552,44,18767,6389,141,"No ",15
553,81,20420,11103,832,"No ",11
554,86,22929,2342,804,Yes,20
555,55,23398,6811,975,"No ",19
556,83,17967,2297,1090,"No ",14
557,86,10919,2450,346,"No ",17
558,61,4761,5093,1225,"No ",11
559,80,21146,5309,430,"No ",15
560,92,20471,3057,268,Yes,13
561,32,4187,5121,167,"No ",14
562,31,10084,16856,621,"No ",11
563,63,5207,2686,527,Yes,13
564,32,22807,6180,883,"No ",23
565,46,12388,6632,954,"No ",13
566,79,19630,3505,310,"No ",18
567,77,10339,6397,719,Yes,12
568,60,18686,6274,304,"No ",22
569,78,21199,19859,725,Yes,13
570,76,14229,7587,1434,"No ",15
571,41,26589,4258,715,"No ",18
572,71,5288,4364,575,"No ",14
573,66,25549,4335,657,"No ",12
574,38,3064,5326,1146,"No ",17
575,72,13551,3280,182,"No ",16
576,95,22670,5485,376,Yes,11
577,84,24008,4342,829,"No ",19
578,82,19905,2782,571,Yes,13
579,75,26085,5980,240,Yes,12
580,86,7530,4381,121,"No ",11
581,72,20317,2572,384,"No ",16
582,38,24375,3833,921,"No ",21
583,38,9931,4244,791,"No ",24
584,93,13305,6500,1111,"No ",17
585,66,16225,18430,570,"No ",13
586,63,3445,1601,1243,Yes,21
587,60,26551,2694,1092,"No ",11
588,82,21821,3149,1325,"No ",20
589,64,6881,17639,691,"No ",16
590,36,6689,2319,805,Yes,11
591,49,25995,11691,213,"No ",11
592,69,26507,5324,118,"No ",15
593,33,12982,16752,202,Yes,11
594,35,23361,5228,676,"No ",15
595,81,23779,2700,1252,"No ",24
596,31,25761,19246,286,Yes,12
597,40,13301,2506,1258,"No ",13
598,43,4051,6062,932,Yes,13
599,46,16374,4382,890,"No ",17
600,36,25527,2143,1041,"No ",13
601,98,19124,6162,859,"No ",12
602,51,11983,5094,720,"No ",14
603,52,20234,6877,946,Yes,24
604,95,6153,2274,252,"No ",14
605,98,11806,4434,933,"No ",13
606,45,4284,6288,471,"No ",15
607,100,8306,2553,702,"No ",16
608,43,5860,7654,1184,"No ",18
609,37,21519,5160,436,"No ",16
610,94,5200,17159,589,"No ",24
611,42,8842,12808,269,Yes,16
612,59,18869,10221,950,"No ",21
613,81,3698,4779,760,Yes,20
614,88,2243,3737,829,"No ",19
615,88,20898,2366,887,Yes,14
616,50,16571,1706,443,"No ",11
617,66,5594,16307,1318,"No ",14
618,50,5197,5933,625,"No ",12
619,65,21632,3424,180,"No ",13
620,48,21816,4037,586,"No ",22
621,53,17852,2559,1343,"No ",11
622,56,2823,6201,928,Yes,14
623,73,9250,4403,117,"No ",11
624,75,2373,3761,1012,"No ",12
625,78,20715,10934,661,Yes,18
626,74,19239,10761,930,Yes,12
627,91,22162,5175,638,"No ",12
628,81,19028,13826,890,"No ",22
629,66,24558,6334,342,"No ",19
630,63,23965,4936,1169,"No ",13
631,33,19146,4775,1230,"No ",22
632,62,5044,2818,986,Yes,24
633,35,9068,2515,1271,Yes,14
634,77,8635,2342,1278,"No ",21
635,98,14363,4194,141,Yes,18
636,66,23457,10685,607,Yes,20
637,96,16612,2022,130,Yes,19
638,61,9148,2314,300,"No ",12
639,87,18154,4256,583,"No ",12
640,36,10554,3580,1418,"No ",16
641,46,10778,3162,1269,"No ",17
642,48,8891,6524,379,"No ",14
643,98,12102,2899,395,"No ",19
644,95,23726,5231,1265,Yes,13
645,48,14871,2356,1222,Yes,19
646,48,23522,2800,341,Yes,19
647,73,22789,11836,868,"No ",14
648,78,9129,10903,672,"No ",16
649,54,21222,2973,1231,"No ",15
650,72,20206,14275,102,"No ",18
651,33,21782,5562,422,"No ",13
652,35,17783,4537,249,Yes,22
653,32,4814,7642,1252,Yes,13
654,98,4544,17924,881,"No ",11
655,42,7790,5204,1383,"No ",11
656,57,22650,2277,1075,Yes,11
657,87,18016,2795,374,Yes,24
658,62,6054,2532,1086,"No ",14
659,61,7508,2559,661,Yes,13
660,98,24252,4908,821,"No ",14
661,57,13384,2380,781,Yes,14
662,55,23814,4765,177,"No ",21
663,49,22052,2044,500,"No ",13
664,65,8870,2693,1427,"No ",19
665,68,4821,6586,1425,Yes,17
666,65,13137,3294,1454,Yes,18
667,34,10022,4171,617,Yes,19
668,57,17725,2778,1085,Yes,13
669,77,9834,2377,995,"No ",18
670,70,4303,2404,1122,Yes,21
671,76,17808,2318,618,"No ",19
672,83,6896,2008,546,"No ",14
673,68,7824,6244,462,"No ",17
674,100,3339,2799,1198,Yes,11
675,37,9255,10552,1272,Yes,13
676,41,11737,2329,154,"No ",15
677,51,19170,4014,1137,Yes,25
678,51,22477,7403,527,"No ",11
679,51,5543,2259,1469,"No ",17
680,45,24406,6932,1188,"No ",13
681,65,23293,4678,188,"No ",18
682,80,16292,13582,1333,"No ",13
683,70,3974,2332,1184,"No ",20
684,36,18798,2413,867,Yes,18
685,67,20652,9705,658,"No ",12
686,52,11148,4294,1283,"No ",12
687,59,3119,4721,263,Yes,13
688,79,12287,2519,938,"No ",21
689,37,9947,2121,419,Yes,13
690,84,13008,2973,129,"No ",19
691,41,17369,5855,616,Yes,11
692,35,25063,3617,1469,Yes,14
693,93,13554,6725,498,"No ",12
694,51,5518,10325,530,Yes,11
695,42,12291,6949,1069,"No ",14
696,46,14922,10609,625,"No ",11
697,57,23163,4447,805,"No ",12
698,84,18203,2157,1404,"No ",15
699,86,6179,4601,1219,"No ",16
700,70,13829,17099,1053,"No ",15
701,51,26227,2479,289,"No ",24
702,45,13938,14852,1376,"No ",13
703,62,9977,7264,231,"No ",11
704,85,19899,5666,152,Yes,13
705,92,6812,7823,882,"No ",13
706,41,2560,7880,903,"No ",18
707,100,17071,13194,1479,Yes,16
708,64,6759,5067,1379,Yes,19
709,84,25952,5079,1229,"No ",13
710,46,10322,2321,335,Yes,22
711,38,20489,17444,722,"No ",11
712,92,11479,2404,906,Yes,20
713,53,17241,3452,461,"No ",18
714,91,11005,2270,974,"No ",14
715,66,6615,17399,1126,"No ",22
716,84,20161,5488,827,Yes,13
717,64,3735,19419,840,"No ",17
718,37,12086,2811,1134,"No ",14
719,42,14039,3633,248,Yes,15
720,83,8571,4163,955,Yes,17
721,48,11539,2132,138,Yes,11
722,95,4161,13973,939,Yes,18
723,66,12127,2684,1391,"No ",17
724,75,24208,10845,566,"No ",13
725,41,24117,4377,1206,"No ",15
726,39,10074,3743,622,Yes,24
727,96,11275,4148,853,"No ",12
728,73,13493,1051,287,"No ",15
729,56,13943,10739,1441,"No ",11
730,57,6975,10388,583,Yes,11
731,73,17802,11416,153,Yes,12
732,98,18275,2600,1097,Yes,15
733,60,25725,2422,109,"No ",17
734,32,3334,5472,1066,"No ",12
735,94,6881,2451,217,"No ",15
736,97,13119,4240,277,"No ",13
737,78,22245,10999,1355,"No ",14
738,42,23371,5003,549,"No ",14
739,65,7060,12742,466,"No ",16
740,47,4658,4227,1055,"No ",18
741,45,9541,3917,802,"No ",20
742,90,7770,18303,265,"No ",13
743,64,20165,2380,804,"No ",18
744,69,21829,13726,715,Yes,13
745,61,14382,4777,1141,"No ",15
746,62,12992,6385,135,Yes,14
747,55,20284,19973,247,"No ",22
748,42,4981,6861,1035,Yes,12
749,79,21813,4969,265,"No ",18
750,57,25846,19845,266,"No ",15
751,53,11737,13320,1448,Yes,18
752,95,24920,6347,145,"No ",12
753,43,8269,2743,885,"No ",16
754,82,5083,10880,945,Yes,13
755,88,21437,2342,1038,"No ",19
756,90,5404,17650,1234,"No ",13
